,,,Stats,,,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FGA,FT%,FTA,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
112,Royce O'Neale,BKN,30,786,233,142,97,22,23,65,38.9,203,62.5,16,-0.30,-1.30,-0.18,-0.07,-0.41,0.23,0.70,-1.04,-0.36
113,Shaedon Sharpe,POR,26,912,436,139,85,24,9,54,41.0,363,82.4,102,-0.30,-0.09,-0.22,-0.27,-0.20,-0.62,0.30,-1.51,0.19
114,Terry Rozier,CHA,18,645,412,67,128,22,7,45,45.6,340,85.1,67,-0.31,-0.24,-1.23,0.45,-0.41,-0.74,-0.04,-0.55,0.31
115,Aaron Nesmith,IND,27,675,310,86,28,28,19,54,53.1,211,69.6,46,-0.31,-0.84,-0.96,-1.21,0.22,-0.01,0.30,0.59,-0.59
116,Gordon Hayward,CHA,25,798,362,117,116,28,12,22,46.8,297,76.5,81,-0.32,-0.53,-0.53,0.25,0.22,-0.44,-0.88,-0.26,-0.38
117,Zion Williamson,NOP,25,772,558,152,110,27,8,3,57.5,381,65.0,180,-0.32,0.63,-0.04,0.15,0.12,-0.68,-1.58,1.90,-3.05
118,Aaron Gordon,DEN,28,896,380,192,96,27,17,13,52.5,295,60.6,94,-0.33,-0.43,0.52,-0.08,0.12,-0.13,-1.21,0.69,-2.07
119,Nic Claxton,BKN,21,571,244,199,35,9,53,1,64.2,165,62.0,50,-0.33,-1.23,0.61,-1.10,-1.79,2.07,-1.65,1.51,-1.05
120,Dorian Finney-Smith,BKN,28,824,293,139,34,19,15,69,47.0,230,80.0,10,-0.33,-0.94,-0.22,-1.11,-0.73,-0.25,0.85,-0.16,-0.06
121,Donte DiVincenzo,NYK,30,621,296,86,54,29,8,73,45.7,221,72.4,29,-0.33,-0.92,-0.96,-0.78,0.33,-0.68,0.99,-0.30,-0.30
122,Luguentz Dort,OKC,28,793,311,110,36,23,23,52,45.8,225,81.5,65,-0.33,-0.84,-0.63,-1.08,-0.31,0.23,0.22,-0.30,0.04
123,Josh Giddey,OKC,28,710,323,165,122,22,13,23,44.3,307,80.0,35,-0.33,-0.76,0.14,0.35,-0.41,-0.38,-0.84,-0.70,-0.06
124,LaMelo Ball,CHA,15,501,370,82,123,21,4,52,44.3,298,85.7,63,-0.34,-0.48,-1.02,0.36,-0.52,-0.93,0.22,-0.68,0.33
125,Josh Hart,NYK,30,839,226,176,88,28,7,28,45.6,195,80.0,25,-0.35,-1.34,0.29,-0.22,0.22,-0.74,-0.66,-0.26,-0.06
126,Reggie Jackson,DEN,32,784,400,69,141,20,7,48,47.3,338,72.7,44,-0.35,-0.31,-1.20,0.66,-0.63,-0.74,0.07,-0.21,-0.41
127,Obi Toppin,IND,29,690,346,102,39,16,16,37,59.6,230,76.1,46,-0.35,-0.63,-0.74,-1.03,-1.05,-0.19,-0.33,1.46,-0.26
128,Dereck Lively,DAL,25,639,229,192,28,15,38,0,74.8,139,53.8,39,-0.35,-1.32,0.52,-1.21,-1.15,1.15,-1.69,2.11,-1.18
129,P.J. Washington,CHA,25,746,345,134,60,25,21,46,42.5,301,76.8,56,-0.35,-0.63,-0.29,-0.68,-0.10,0.11,0.00,-0.99,-0.26
130,Dario Saric,GSW,30,623,322,171,61,17,6,47,46.4,239,85.5,62,-0.36,-0.77,0.22,-0.67,-0.94,-0.80,0.04,-0.24,0.31
131,Devin Vassell,SAS,24,719,434,80,69,23,3,63,45.6,344,81.4,70,-0.36,-0.10,-1.05,-0.53,-0.31,-0.99,0.63,-0.54,0.04
132,Goga Bitadze,ORL,27,538,190,160,47,18,46,1,60.8,125,71.2,52,-0.36,-1.55,0.07,-0.90,-0.84,1.64,-1.65,0.93,-0.57
133,Norman Powell,LAC,30,761,392,66,30,17,13,57,49.6,272,87.8,74,-0.37,-0.35,-1.24,-1.18,-0.94,-0.38,0.41,0.20,0.57
134,Walker Kessler,UTA,23,570,203,189,21,10,64,3,58.6,157,51.6,31,-0.37,-1.48,0.47,-1.33,-1.68,2.74,-1.58,0.95,-1.03
135,Dillon Brooks,HOU,28,866,380,98,48,26,1,53,47.6,296,83.3,54,-0.37,-0.43,-0.80,-0.88,0.01,-1.11,0.26,-0.12,0.13
136,Talen Horton-Tucker,UTA,28,641,318,75,126,30,11,37,41.6,286,81.1,53,-0.37,-0.79,-1.12,0.41,0.43,-0.50,-0.33,-1.08,0.00
137,Bruce Brown,IND,27,828,313,124,78,30,7,27,45.7,256,81.3,64,-0.37,-0.82,-0.43,-0.38,0.43,-0.74,-0.70,-0.37,0.02
138,Kyrie Irving,DAL,17,541,391,67,88,20,5,43,47.1,310,90.3,62,-0.37,-0.36,-1.23,-0.22,-0.63,-0.87,-0.11,-0.23,0.64
139,Derrick Jones,DAL,30,759,313,108,32,23,25,47,47.5,240,74.5,51,-0.38,-0.82,-0.66,-1.15,-0.31,0.36,0.04,-0.10,-0.37
